Zip,Meals
3449,74
3450,68
3451,68
3452,68
3455,68
3456,68
3457,68
3458,74
3461,68
3462,68
3464,68
3465,68
3466,68
3467,68
3468,74
3469,68
3470,68
3561,74
3570,68
3574,68
3574,74
3575,68
3576,68
3579,68
3580,74
3581,68
3582,68
3583,68
3584,68
3585,74
3586,74
3588,68
3589,68
3590,68
3592,68
3593,68
3595,68
3597,68
3598,68
3601,68
3602,68
3603,68
3604,68
3605,68
3607,68
3608,68
3609,68
3740,74
3741,74
3743,68
3745,68
3746,68
3748,68
3748,74
3749,74
3750,74
3751,68
3752,68
3753,68
3754,68
3755,74
3756,74
3765,74
3766,74
3768,74
3769,74
3770,68
3771,74
3773,68
3774,74
3777,74
3779,74
3780,74
3781,68
3782,68
3784,74
3785,74
3801,74
3802,74
3803,74
3804,74
3809,74
3810,74
3811,74
3812,80
3813,80
3814,80
3815,74
3816,80
3817,80
3818,80
3819,74
3820,74
3821,74
3822,74
3823,74
3824,74
3825,74
3826,74
3827,74
3830,80
3832,80
3833,74
3835,74
3836,80
3837,74
3838,80
3839,74
3840,74
3841,74
3842,74
3843,74
3844,74
3845,80
3846,80
3847,80
3848,74
3849,80
3850,80
3851,74
3852,74
3853,80
3854,74
3855,74
3856,74
3857,74
3858,74
3859,74
3860,80
3861,74
3862,74
3864,80
3865,74
3866,74
3867,74
3868,74
3869,74
3870,74
3871,74
3872,80
3873,74
3874,74
3875,80
3878,74
3882,80
3883,80
3884,74
3885,74
3886,80
3887,80
3887,74
3890,80
3894,80
3896,80
3897,80
3901,86
3902,86
3903,86
3904,86
3905,86
3906,86
3907,86
3908,86
3909,86
3910,86
3911,86
4001,86
4002,86
4003,80
4004,86
4005,86
4006,86
4007,86
4008,80
4009,80
4010,68
4011,80
4013,80
4014,86
4015,80
4016,68
4017,80
4019,80
4020,86
4021,80
4022,68
4024,80
4027,86
4028,86
4029,80
4030,86
4032,80
4033,80
4034,80
4037,68
4038,80
4039,80
4040,68
4040,80
4041,68
4042,86
4043,86
4046,86
4047,86
4048,86
4049,86
4050,80
4051,68
4054,86
4055,80
4056,86
4057,80
4061,86
4062,80
4063,86
4064,86
4066,80
4068,68
4069,80
4070,80
4071,80
4072,86
4073,86
4074,80
4076,86
4077,80
4078,80
4079,80
4082,80
4083,86
4084,80
4085,80
4086,80
4087,86
4088,68
4090,86
4091,80
4092,80
4093,86
4094,86
4095,86
4096,80
4097,80
4098,80
4101,80
4102,80
4103,80
4104,80
4105,80
4106,80
4107,80
4108,80
4109,80
4110,80
4112,80
4116,80
4122,80
4123,80
4124,80
4210,68
4211,68
4212,68
4216,68
4217,68
4219,68
4220,68
4221,68
4222,68
4223,68
4224,68
4225,68
4226,68
4227,68
4228,68
4230,68
4231,68
4234,68
4236,68
4237,68
4238,68
4239,68
4240,68
4241,68
4243,68
4250,68
4252,68
4253,68
4254,68
4255,68
4256,68
4257,68
4258,68
4259,68
4260,80
4261,68
4262,68
4263,68
4265,68
4266,68
4267,68
4268,68
4270,68
4271,68
4274,68
4275,68
4276,68
4280,68
4281,68
4282,68
4284,68
4285,68
4286,68
4287,80
4288,68
4289,68
4290,68
4291,68
4292,68
4294,68
4330,68
4332,68
4333,68
4336,68
4338,68
4341,68
4342,68
4343,68
4344,68
4345,68
4346,68
4347,68
4348,68
4349,68
4350,68
4351,68
4352,68
4353,68
4354,68
4355,68
4357,80
4358,68
4359,68
4360,68
4363,68
4364,68
4401,68
4402,68
4406,68
4408,92
4410,68
4411,68
4412,68
4413,68
4414,68
4415,68
4416,92
4417,68
4418,68
4419,68
4420,92
4421,92
4422,68
4424,68
4426,68
4427,68
4428,68
4429,68
4429,92
4430,68
4431,92
4434,68
4435,68
4438,68
4441,68
4442,68
4443,68
4444,68
4448,68
4449,68
4450,68
4451,68
4453,68
4454,68
4455,68
4456,68
4457,68
4459,68
4460,68
4461,68
4462,68
4463,68
4464,68
4468,68
4469,68
4471,68
4472,92
4473,68
4474,68
4475,68
4476,92
4478,68
4479,68
4481,68
4485,68
4487,68
4488,68
4489,68
4490,68
4491,68
4492,68
4493,68
4495,68
4496,68
4497,68
4530,80
4535,68
4537,68
4538,68
4539,68
4541,68
4543,68
4544,68
4547,92
4548,80
4549,68
4551,68
4553,68
4554,68
4555,68
4556,68
4558,68
4562,80
4563,92
4564,68
4565,80
4568,68
4570,68
4571,68
4572,68
4573,68
4574,92
4575,68
4576,68
4578,68
4579,80
4605,92
4606,68
4607,92
4609,92
4611,68
4612,92
4613,92
4614,92
4616,92
4617,92
4619,68
4622,68
4622,92
4623,68
4624,92
4625,92
4626,68
4627,92
4628,68
4629,92
4630,68
4631,68
4634,92
4635,92
4637,68
4640,92
4642,92
4643,68
4644,92
4645,92
4646,92
4648,68
4649,68
4650,92
4652,68
4653,92
4654,68
4655,68
4657,68
4658,68
4660,92
4662,92
4664,92
4666,68
4667,68
4668,68
4669,92
4671,68
4672,92
4673,92
4674,92
4675,92
4676,92
4677,92
4679,92
4680,68
4681,92
4683,92
4684,92
4685,92
4686,68
4691,68
4693,92
4694,68
4730,68
4732,68
4733,68
4734,68
4735,68
4736,68
4737,68
4738,68
4739,68
4740,68
4741,68
4742,68
4743,68
4744,68
4745,68
4746,68
4747,68
4750,68
4751,68
4756,68
4757,68
4758,68
4760,68
4761,68
4762,68
4763,68
4764,68
4765,68
4766,68
4768,68
4769,68
4772,68
4773,68
4774,68
4775,68
4776,68
4777,68
4779,68
4780,68
4781,68
4783,68
4785,68
4786,68
4787,68
4841,92
4843,92
4847,92
4848,68
4849,68
4850,68
4851,92
4852,68
4853,92
4854,92
4855,92
4856,92
4858,92
4859,92
4860,92
4861,92
4862,92
4863,92
4864,92
4865,92
4901,68
4903,68
4910,68
4911,68
4912,68
4915,68
4917,68
4918,68
4920,68
4921,68
4922,68
4923,68
4924,68
4925,68
4926,68
4927,68
4928,68
4929,68
4930,68
4932,68
4933,68
4935,68
4936,68
4937,68
4938,68
4939,68
4940,68
4941,68
4942,68
4943,68
4944,68
4945,68
4947,68
4949,68
4950,68
4951,68
4952,68
4953,68
4954,68
4955,68
4956,68
4957,68
4958,68
4961,68
4962,68
4963,68
4964,68
4965,68
4966,68
4967,68
4969,68
4970,68
4971,68
4972,68
4973,68
4974,68
4975,68
4976,68
4978,68
4979,68
4981,68
4982,68
4983,68
4984,68
4985,68
4986,68
4987,68
4988,68
4989,68
4992,68
5001,86
5009,86
5030,86
5031,86
5032,86
5033,68
5034,86
5035,86
5036,68
5037,86
5038,68
5039,68
5040,68
5041,68
5042,68
5043,68
5045,68
5046,68
5047,86
5048,86
5049,86
5050,68
5051,68
5052,86
5053,86
5054,68
5055,86
5056,86
5058,68
5059,86
5060,68
5061,68
5062,86
5065,86
5067,86
5068,86
5069,68
5070,68
5071,86
5072,68
5073,86
5074,68
5075,68
5076,68
5077,68
5079,68
5081,68
5083,68
5084,86
5085,68
5086,68
5088,86
5089,86
5091,86
5101,68
5141,68
5142,86
5143,86
5146,68
5148,68
5149,86
5150,86
5151,86
5152,86
5153,86
5154,68
5155,68
5156,86
5158,68
5159,68
5161,86
5201,86
5250,86
5251,86
5252,86
5253,86
5254,86
5255,86
5257,86
5260,86
5261,86
5262,86
5301,68
5302,68
5303,68
5304,68
5340,86
5341,68
5342,68
5343,68
5344,68
5345,68
5346,68
5350,86
5351,68
5352,86
5353,68
5354,68
5355,68
5356,68
5357,68
5358,68
5359,68
5360,68
5361,68
5362,68
5363,68
5401,86
5402,86
5403,86
5404,86
5405,86
5406,86
5407,86
5408,86
5439,86
5440,68
5441,68
5442,86
5443,68
5444,86
5445,86
5446,86
5447,68
5448,68
5449,86
5450,68
5451,86
5452,86
5453,86
5454,68
5455,68
5456,68
5457,68
5458,68
5459,68
5460,68
5461,86
5462,86
5463,68
5464,86
5465,86
5466,86
5468,86
5469,68
5470,68
5471,68
5472,68
5473,68
5474,68
5476,68
5477,86
5478,68
5479,68
5481,68
5482,86
5483,68
5485,68
5486,68
5487,68
5488,68
5489,86
5490,86
5491,68
5492,86
5494,86
5495,86
5501,80
